user,begin_date,end_date,duration,timezone
esltv_taketv,11/11/22 13:20,11/11/22 17:40,04:20:00,Europe/Berlin
topangatv,11/10/15 10:05,11/10/15 11:20,01:15:00,Japan
mlg_live,11/12/07 03:20,11/12/07 06:00,02:40:00,America/Chicago
incontroltv,11/12/12 20:30,11/12/13 00:50,04:20:00,US/Pacific
teamsp00ky,11/10/15 11:35,11/10/16 02:40,15:05:00,US/Eastern
soniee,11/10/18 14:50,11/10/18 16:50,02:00:00,Europe/Stockholm
liquidsheth,11/12/08 20:00,11/12/08 22:05,02:05:00,America/Los_Angeles
giantbomb,12/01/05 23:45,12/01/06 01:10,01:25:00,US/Pacific
godsgarden,11/11/18 11:45,11/11/18 22:25,10:40:00,Asia/Tokyo
artosis,12/01/01 02:05,12/01/01 06:15,04:10:00,Asia/Seoul
ignproleague,11/12/20 16:25,11/12/20 21:20,04:55:00,America/Los_Angeles
sobadrush,11/12/29 11:25,11/12/29 15:25,04:00:00,Asia/Taipei
whitera,11/12/04 17:10,11/12/04 23:45,06:35:00,Europe/Kiev
siglemic,11/12/20 03:10,11/12/20 18:15,15:05:00,America/Los_Angeles
incontroltv,11/11/23 21:25,11/11/24 02:50,05:25:00,US/Pacific
xsebt,11/11/26 01:00,11/11/26 06:35,05:35:00,CET
ernestle,11/11/12 14:00,11/11/13 04:00,14:00:00,America/Los_Angeles
mlg_live,11/11/10 18:55,11/11/11 03:10,08:15:00,America/Chicago
mtwdimaga,11/12/19 16:05,11/12/20 00:00,07:55:00,America/Los_Angeles
eghuk,11/12/08 20:00,11/12/26 22:10,434:10:00,Asia/Seoul
